JAVA,FACIL
WEB,FACIL
LUA,FACIL
DADO,FACIL
HTML,FACIL
CSS,FACIL
SCRIPT,FACIL
CODIGO,FACIL
ARRAY,FACIL
FUNCAO,FACIL
BROWSER,FACIL
SENHA,FACIL
LINUX,FACIL
JAVA,FACIL
PYTHON,FACIL
TELA,FACIL
LOOP,FACIL
VARIAVEL,FACIL
WINDOWS,FACIL
CELULAR,FACIL
APP,FACIL
ROTEIRO,FACIL
BANCO,FACIL
SISTEMA,FACIL
MEMORIA,FACIL
REDES,FACIL
INTERNET,FACIL
ARQUIVO,FACIL
APP,FACIL
EMAIL,FACIL

HASKELL,DIFICIL
RECURSAO,DIFICIL
PARADIGMA,DIFICIL
COMPILADOR,DIFICIL
ALGORITMO,DIFICIL
FRAMEWORK,DIFICIL
INTERFACE,DIFICIL
HERANCA,DIFICIL
POLIMORFISMO,DIFICIL
PROTOCOLO,DIFICIL
BINARIO,DIFICIL
CRIPTGRAFIA,DIFICIL
REDEFINITION,DIFICIL
ASSEMBLY,DIFICIL
THREAD,DIFICIL
METADADO,DIFICIL
ABSTRAÇÃO,DIFICIL
PIPELINE,DIFICIL
SINCRONIA,DIFICIL
ASSINCRONO,DIFICIL
CONSISTENCIA,DIFICIL
OTIMIZACAO,DIFICIL
INTEGRIDADE,DIFICIL
MUTEX,DIFICIL
TRANSAÇÃO,DIFICIL
DEADLOCK,DIFICIL
DESEMPENHO,DIFICIL
ESCALABILIDADE,DIFICIL

CASA,FACIL
MESA,FACIL
CADEIRA,FACIL
FLORESTA,FACIL
CARRO,FACIL
CACHORRO,FACIL
GATO,FACIL
JANELA,FACIL
PORTA,FACIL
SORRISO,FACIL
SAPATO,FACIL
PANELA,FACIL
FRUTA,FACIL
BOLA,FACIL
RIO,FACIL
PRAIA,FACIL
FRIO,FACIL
CALOR,FACIL
ESCOLA,FACIL
LIVRO,FACIL
RUA,FACIL
CAMISA,FACIL
NOITE,FACIL
DIA,FACIL
FAMILIA,FACIL
AMIGO,FACIL
CIUME,FACIL
VIDA,FACIL
SONHO,FACIL
FESTA,FACIL
FOLHA,FACIL
PLANTA,FACIL
LUZ,FACIL
CAMA,FACIL
MOTO,FACIL
TRAVESSEIRO,FACIL
CELULAR,FACIL
VIAGEM,FACIL
FILME,FACIL
VERAO,FACIL
BRINQUEDO,FACIL
BRINCAR,FACIL
HORTA,FACIL

VONTADE,DIFICIL
OUSADIA,DIFICIL
EMPATIA,DIFICIL
RESILIENCIA,DIFICIL
AMBIGUIDADE,DIFICIL
DIGNIDADE,DIFICIL
SERENIDADE,DIFICIL
ANTAGONISMO,DIFICIL
PROSPERIDADE,DIFICIL
TRANSCENDENCIA,DIFICIL
PRECONCEITO,DIFICIL
INTEGRIDADE,DIFICIL
ANGUSTIA,DIFICIL
MELANCOLIA,DIFICIL
CONSCIENCIA,DIFICIL
SABEDORIA,DIFICIL
INJUSTICA,DIFICIL
VIRTUDE,DIFICIL
VULNERABILIDADE,DIFICIL
INSIGHT,DIFICIL